pr_id,title,html_url,repo,agent,status,topic_id,topic_name,aidev_task_type,outcome,outcome_reason,optimization_layer,perf_focus,inefficiency_antipattern,evidence_type,detection_method,reproducibility,material_reproducibility,regression_handling,boundary_tag,boundary_type,topic_difficulty,blocking,confidence,primary_concern,review_comment_bucket,review_dimensions,performance_evidence_in_review,antipattern_addressed,antipattern_in_fix,changes,file_count,commit_count,additions,deletions,review_count,review_comment_count,pr_comment_count,comment_total,linked_issue_count,has_linked_issue,lifespan_hours,fast_merge,has_revert,body_has_repro_steps,body_has_benchmark_table,body_has_numeric_perf_claim,has_formal_review,has_review_or_comment_text,evidence_gap,regression_detail,reproducibility_notes,performance_claim,notes,merge_reason_group,close_reason_group
2759847657,feat(ci): add Graphite CI optimizer to build-test workflow,https://github.com/toeverything/AFFiNE/pull/9356,toeverything/AFFiNE,Devin,closed,,,feat,closed,closed_no_review_inactivity,build,ci_optimizer|job_skipping|ci_time_reduction,none,narrative,unknown,unknown,insufficient,reject_close,process,process,low,False,medium,no_human_review,no_review_text,,False,none,none,0,0,0,0,0,0,0,3,3,0,False,12.18,False,False,False,False,False,False,True,no_perf_evidence_no_ci_run,PR closed without merge; no evidence of regression testing.,"No CI results, benchmarks, or manual performance data provided.",Improve CI efficiency by skipping unnecessary jobs via Graphite optimizer.,"Devin added CI optimizer; no human review, no CI evidence, closed by bot after 12h without merge.",without_formal_review,stale_or_inactivity
2760327496,ci: add graphite ci optimizer and update job dependencies,https://github.com/toeverything/AFFiNE/pull/9362,toeverything/AFFiNE,Devin,merged,,,ci,merged,merged_small_scope_low_risk,ci_cd_pipeline,ci_optimization|job_dependency_skip,none,narrative,code_reading,insufficient,insufficient,not_applicable,technical_stack,technical_stack,medium,False,high,none,no_review_text,design_or_approach,False,none,none,52,1,1,45,7,1,0,4,4,0,False,1.013,True,False,False,False,False,True,True,narrative_claim_only_no_ci_metrics,No regression issues; merge was straightforward.,PR body claims CI efficiency improvement but provides no before/after timing or metrics; merge decision based on trust in Graphite tool and correct syntax.,Improve CI efficiency by skipping unnecessary jobs via Graphite optimizer.,Devin added Graphite CI optimizer to build-test workflow; approved by Brooooooklyn and merged within 1 hour; no benchmark or performance evidence required.,small_scope_low_risk,scope_too_large
2766896431,Replace motion library with Tailwind transitions in EditPanel,https://github.com/onlook-dev/onlook/pull/982,onlook-dev/onlook,Devin,closed,24,24_bundle_css_components_splitting,perf,closed,closed_after_inactivity,frontend_ui,motion_library_removal|tailwind_transition|bundle_optimization,none,narrative,unknown,insufficient,insufficient,reject_close,process,process,medium,False,high,none,no_review_text,,False,none,none,53,4,1,21,32,0,0,1,1,0,False,91.39,False,False,False,False,False,False,True,narrative_only_no_benchmark,PR closed without merge after ~3.8 days; no fix-in-PR cycle or review feedback occurred.,"No benchmark, profiler, or numeric performance claims; only narrative of performance improvement without any quantifiable measurement.",Replacing motion library with Tailwind transitions improves performance by removing runtime animation library dependency.,Devin replaced motion library with Tailwind transitions in 4 EditPanel components; no review or maintainer interaction; closed without merge after ~3.8 days.,other,stale_or_inactivity
2776940475,refactor(studio): make processNode non-blocking,https://github.com/onlook-dev/onlook/pull/1002,onlook-dev/onlook,Devin,closed,37,37,refactor,closed,stale_no_review_engagement,frontend_ui,non_blocking_processing|ui_responsiveness|chunked_task_scheduling,none,narrative,unknown,insufficient,insufficient,reject_close,process,process,medium,False,medium,unknown,no_review_text,,False,none,none,146,1,1,125,21,0,0,1,1,0,False,12.72,False,False,False,False,False,False,True,narrative_only_no_review,PR closed without fix-in-PR; head ref deleted after closure.,"No benchmark, profiling, or reproduction steps provided; only narrative claims in PR body.",Make processNode non-blocking to prevent UI freezing during AST traversal.,"Devin refactored processNode to non-blocking with requestIdleCallback; no review, maintainer closed within ~12.7h, likely due to lack of engagement or misalignment.",without_formal_review,stale_or_inactivity
2777349471,Fix: Improve Telegram Service Connection Handling,https://github.com/hcengineering/platform/pull/7619,hcengineering/platform,Devin,merged,,3,fix,merged,merged_small_scope_low_risk,application_service,connection_timeout|reconnection_limit|exponential_backoff|resource_cleanup,none,narrative,unknown,partial,partial,not_applicable,technical_stack,technical_stack,medium,False,high,no_reviewer_concerns,no_review_text,,False,unbounded_retry_and_missing_timeout,none,378,1,5,258,120,1,0,1,1,0,False,116.93,False,False,False,False,True,True,True,narrative_only_no_measurements,No regressions reported; PR merged without revert.,PR body mentions manual testing but no benchmarks or before/after latency metrics; only narrative claim of fixing hanging issues.,Add connection timeouts and reconnection limits to prevent indefinite hanging.,"Devin added connection timeouts and reconnection limits to prevent hanging; single APPROVED review, merged after ~117h.",small_scope_low_risk,scope_too_large
2777919004,feat: Used ShadowDOM in CustomWidget,https://github.com/appsmithorg/appsmith/pull/38561,appsmithorg/appsmith,Devin,closed,7,7,feat,closed,stale_no_review_engagement,frontend_ui,shadowdom_isolation|iframe_replacement|frontend_performance,none,narrative,unknown,insufficient,insufficient,reject_close,process,process,medium,False,medium,experimental_no_engagement,no_review_text,,False,iframe_overhead (prior iframe performance penalty),none,1334,6,6,733,601,0,0,5,5,0,False,182.93,False,False,False,False,False,False,True,narrative_only_no_review,PR closed without fix; no regression check.,No benchmark or profiling; manual testing steps only mentioned as required.,Improved performance by removing iFrame overhead and using ShadowDOM for better isolation.,"Devin replaced iFrame with ShadowDOM for isolation and performance; no review feedback, PR closed after 8 days without merge.",without_formal_review,stale_or_inactivity
2778508344,refactor: move processNode to main process,https://github.com/onlook-dev/onlook/pull/1004,onlook-dev/onlook,Devin,closed,,37,refactor,closed,closed_by_maintainer_unknown_reason,architecture_thread_offload,prevent_ui_blocking|process_node_main_thread|ipc_batching,none,narrative,unknown,insufficient,insufficient,reject_close,process,process,medium,False,medium,no_review_available,no_review_text,,False,ui_blocking_by_renderer_thread,none,397,7,1,242,155,0,0,1,1,0,False,0.265,False,False,False,False,False,False,True,narrative_only_no_benchmark_or_review,PR closed without merge; no fix-in-PR cycle.,"No benchmark, profiling, or before/after UI responsiveness metrics provided.",Moving processNode to main process via IPC prevents UI blocking by offloading compute from renderer.,Devin refactor to move processNode to main process; closed by maintainer after 16 minutes with no review or comment explanation.,other,other
2782133644,refactor: remove framer-motion animations from ShareProject and ChatInput components,https://github.com/onlook-dev/onlook/pull/1016,onlook-dev/onlook,Devin,closed,24,24,refactor,closed,closed_by_maintainer_without_comment,frontend_ui,animation_removal|render_optimization|reduced_rerenders,unnecessary_rendering,narrative,unknown,insufficient,insufficient,reject_close,process,process,low,False,medium,no_review_data,no_review_text,,False,unnecessary_rendering,none,151,2,1,48,103,0,0,1,1,0,False,0.335,False,False,True,False,False,False,True,narrative_only_no_perf_measurement,PR closed without any fix or discussion.,No benchmark or before/after measurements; only a narrative claim of 'improved performance'.,"Removing framer-motion animations eliminates MobX-triggered re-renders, improving performance.","Devin removed framer-motion animations from ChatInput and ShareProject, claiming performance improvement; maintainer closed PR within 20 minutes with no review.",other,other
2784488870,fix: optimize explore caching in ValidationService,https://github.com/lightdash/lightdash/pull/13245,lightdash/lightdash,Devin,closed,,45,fix,closed,immediate_bot_close_no_review,application_service,explore_cache_optimization|avoid_redundant_db_request,none,narrative,unknown,insufficient,insufficient,reject_close,process,process,low,False,medium,unknown,no_review_text,,False,none,none,28,3,2,27,1,0,0,1,1,0,False,0.026,False,False,False,False,False,False,True,no_review_no_benchmark,PR closed without merge; no regressions identified because no review occurred.,"No benchmark, profiling, or before/after performance data; only a narrative claim about avoiding unnecessary DB queries.",Avoid unnecessary database requests for explore caching by moving findExploresFromCache inside the condition where compiledExplores is undefined and using Object.values on the cache.,Devin moved cache call inside condition; PR closed by bot within 1.5 minutes without review or merge.,without_formal_review,closed_without_meaningful_review
2784500442,fix: optimize explore caching in ValidationService,https://github.com/lightdash/lightdash/pull/13246,lightdash/lightdash,Devin,closed,,45,fix,closed,closed_no_comment,application_service,caching_optimization|lazy_cache_load,none,narrative,unknown,insufficient,insufficient,reject_close,process,process,low,False,medium,unknown,no_review_text,,False,none,none,6,1,1,5,1,0,0,1,1,0,False,0.039,False,False,False,False,False,False,True,no_evidence_provided,PR closed by maintainer without merge; no regression or review issue handling occurred.,"No benchmarks, profiling data, or reproduction steps provided; only narrative claim in PR body.",Prevent unnecessary database requests when compiledExplores is already in memory by moving findExploresFromCache call inside the conditional block.,"Extremely small caching change, closed by maintainer within 2 minutes with no explanation; no review or evidence provided.",other,other
